__run_id,__done,round,configuration,position_goal,number_obstacles
run_361,DONE,9,0,2,2
run_362,DONE,9,1,2,0
run_363,DONE,9,1,2,2
run_364,DONE,9,2,2,0
run_365,DONE,9,2,2,2
run_366,DONE,9,3,2,0
run_367,DONE,9,3,2,2
run_368,DONE,9,4,2,0
run_369,DONE,9,4,2,2
run_370,DONE,9,5,2,0
run_371,DONE,9,5,2,2
run_372,DONE,9,6,2,0
run_373,DONE,9,6,2,2
run_374,DONE,9,7,2,0
run_375,DONE,9,7,2,2
run_376,DONE,9,8,2,0
run_377,DONE,9,8,2,2
run_378,DONE,9,9,2,0
run_379,DONE,9,9,2,2
run_380,DONE,9,10,2,0
run_381,DONE,9,10,2,2
run_382,DONE,9,11,2,0
run_383,DONE,9,11,2,2
run_384,DONE,9,12,2,0
run_385,DONE,9,12,2,2
run_386,DONE,9,13,2,0
run_387,DONE,9,13,2,2
run_388,DONE,9,14,2,0
run_389,DONE,9,14,2,2
run_390,DONE,9,15,2,0
run_391,DONE,9,15,2,2
run_392,DONE,9,16,2,0
run_393,DONE,9,16,2,2
run_394,DONE,9,17,2,0
run_395,DONE,9,17,2,2
run_396,DONE,9,18,2,0
run_397,DONE,9,18,2,2
run_398,DONE,9,19,2,0
run_399,DONE,9,19,2,2
run_400,DONE,10,0,2,0
run_401,DONE,10,0,2,2
run_402,DONE,10,1,2,0
run_403,DONE,10,1,2,2
run_404,DONE,10,2,2,0
run_405,DONE,10,2,2,2
run_406,DONE,10,3,2,0
run_407,DONE,10,3,2,2
run_408,DONE,10,4,2,0
run_409,DONE,10,4,2,2
run_410,DONE,10,5,2,0
run_411,DONE,10,5,2,2
run_412,DONE,10,6,2,0
run_413,DONE,10,6,2,2
run_414,DONE,10,7,2,0
run_415,DONE,10,7,2,2
run_416,DONE,10,8,2,0
run_417,DONE,10,8,2,2
run_418,DONE,10,9,2,0
run_419,DONE,10,9,2,2
run_420,DONE,10,10,2,0
run_421,DONE,10,10,2,2
run_422,DONE,10,11,2,0
run_423,DONE,10,11,2,2
run_424,DONE,10,12,2,0
run_425,DONE,10,12,2,2
run_426,DONE,10,13,2,0
run_427,DONE,10,13,2,2
run_428,DONE,10,14,2,0
run_429,DONE,10,14,2,2
run_430,DONE,10,15,2,0
run_431,DONE,10,15,2,2
run_432,DONE,10,16,2,0
run_433,DONE,10,16,2,2
run_434,DONE,10,17,2,0
run_435,DONE,10,17,2,2
run_436,DONE,10,18,2,0
run_437,DONE,10,18,2,2
run_438,DONE,10,19,2,0
run_439,DONE,10,19,2,2
run_440,DONE,11,0,2,0
run_441,DONE,11,0,2,2
run_442,DONE,11,1,2,0
run_443,DONE,11,1,2,2
run_444,DONE,11,2,2,0
run_445,DONE,11,2,2,2
run_446,DONE,11,3,2,0
run_447,DONE,11,3,2,2
run_448,DONE,11,4,2,0
run_449,DONE,11,4,2,2
run_450,DONE,11,5,2,0
run_451,DONE,11,5,2,2
run_452,DONE,11,6,2,0
run_453,DONE,11,6,2,2
run_454,DONE,11,7,2,0
run_455,DONE,11,7,2,2
run_456,DONE,11,8,2,0
run_457,DONE,11,8,2,2
run_458,DONE,11,9,2,0
run_459,DONE,11,9,2,2
run_460,DONE,11,10,2,0
run_461,DONE,11,10,2,2
run_462,DONE,11,11,2,0
run_463,DONE,11,11,2,2
run_464,DONE,11,12,2,0
